Evaluation,Best,Average,Worst
36500,831.1704542230163,894.5291582529267,1354.2466209433787
36600,831.1704542230163,912.0300968788573,1423.3901770333157
36700,831.1704542230163,905.5641435692861,1346.3664682484593
36800,831.1704542230163,901.9785720395465,1423.3901770333157
36900,831.1704542230163,869.27828461374,1335.6198988961214
37000,831.1704542230163,908.1087122749979,1270.703552055561
37100,831.1704542230163,896.6482413052178,1262.0869565426704
37200,831.1704542230163,882.805505637685,1346.7113960272172
37300,831.1704542230163,901.2260466029687,1354.2466209433787
37400,831.1704542230163,879.0063788073222,1361.2340413942584
37500,831.1704542230163,881.625681326574,1347.1725674258753
37600,831.1704542230163,905.0434087168828,1325.9836804545407
37700,831.1704542230163,891.5401001828326,1422.2600759587226
37800,831.1704542230163,880.9386781841854,1209.175154005289
37900,831.1704542230163,895.9403038085843,1331.343733098187
38000,831.1704542230163,894.1989674366987,1319.0742390317364
38100,831.1704542230163,919.6314868530698,1391.8028519616032
38200,831.1704542230163,889.5321681226944,1346.7113960272172
38300,831.1704542230163,899.6799691223614,1361.2340413942584
38400,831.1704542230163,894.3194378707839,1345.1348631402795
38500,831.1704542230163,879.7329122543052,1367.1571041755026
38600,831.1704542230163,878.2573397775103,1278.902083653224
38700,831.1704542230163,882.1700060621779,1423.3901770333157
38800,831.1704542230163,897.994423430376,1298.774326074583
38900,831.1704542230163,889.3497435023687,1347.1725674258753
39000,831.1704542230163,904.0959367673121,1399.0615902842726
39100,831.1704542230163,872.4145349983637,1423.3901770333157
39200,831.1704542230163,885.1479096115228,1325.9836804545407
39300,831.1704542230163,892.9756243538218,1361.2340413942584
39400,831.1704542230163,899.3600830531395,1413.5609770126705
39500,831.1704542230163,903.2276515662463,1380.695227544976
39600,831.1704542230163,907.8538440886824,1331.343733098187
39700,831.1704542230163,877.2913458235537,1423.3901770333157
39800,831.1704542230163,888.4246539203514,1298.774326074583
39900,831.1704542230163,879.9364076356314,1255.786885808547
40000,831.1704542230163,891.9461590572673,1366.373156505543
40100,831.1704542230163,904.9347514903374,1300.1048004820202
40200,831.1704542230163,914.4782088188194,1422.2600759587226
40300,831.1704542230163,898.8506613039376,1417.4393787756526
40400,831.1704542230163,882.1748135106624,1413.5609770126705
40500,831.1704542230163,900.8244973598099,1373.9933157428009
40600,831.1704542230163,895.6464460425251,1347.1725674258753
40700,831.1704542230163,903.9910628926505,1380.695227544976
40800,831.1704542230163,889.581911477933,1319.0742390317364
40900,831.1704542230163,893.9511013824512,1346.7113960272172
41000,831.1704542230163,892.9590803937649,1413.5609770126705
41100,831.1704542230163,891.1034402334266,1374.6560544355434
41200,831.1704542230163,880.9232982173546,1279.7980281706868
41300,831.1704542230163,909.7057328640835,1336.9385459346722
41400,831.1704542230163,885.7981593736034,1366.373156505543
41500,831.1704542230163,896.8588008460413,1417.4393787756526
41600,831.1704542230163,874.6744530847056,1294.938649513138
41700,831.1704542230163,902.9493670354182,1361.2340413942584
41800,831.1704542230163,922.1176179745322,1413.5609770126705
41900,831.1704542230163,882.9814411992638,1346.7113960272172
42000,831.1704542230163,905.8338901348382,1325.3246998120937
42100,831.1704542230163,916.9987190843462,1396.9708930638685
42200,831.1704542230163,881.1073285717725,1270.703552055561
42300,831.1704542230163,888.8068049082211,1238.7121181789714
42400,831.1704542230163,900.5502380342598,1361.2340413942584
42500,831.1704542230163,901.7273729673092,1316.6322977742584
42600,831.1704542230163,893.6357704078061,1346.7113960272172
42700,831.1704542230163,886.0190783001618,1231.3107995273876
42800,831.1704542230163,874.683177530835,1243.8870039399658
42900,831.1704542230163,889.604725149051,1268.4250067395658
43000,831.1704542230163,908.9424027872914,1354.2466209433787
43100,831.1704542230163,905.1765180056449,1417.4393787756526
43200,831.1704542230163,894.1336505292936,1336.0426014172094
43300,831.1704542230163,916.7855048388512,1361.2340413942584
43400,831.1704542230163,884.8236949910028,1325.9836804545407
43500,831.1704542230163,883.0113136613853,1268.4250067395658
43600,831.1704542230163,916.7969851278903,1417.4393787756526
43700,831.1704542230163,885.3743608959611,1281.976247188957
43800,831.1704542230163,893.5794616912973,1316.1141903267915
43900,831.1704542230163,885.4252812571868,1325.3246998120937
44000,831.1704542230163,893.928767426973,1325.3246998120937
44100,831.1704542230163,880.4302555081094,1361.2340413942584
44200,831.1704542230163,881.8532934689105,1287.671800921918
44300,831.1704542230163,892.8562910591986,1423.3901770333157
44400,831.1704542230163,867.5836888067264,1282.7996892195893
44500,831.1704542230163,874.6081787047048,1373.9933157428009
44600,831.1704542230163,878.6553232209735,1265.8180433358405
44700,831.1704542230163,896.8290893287244,1366.373156505543
44800,831.1704542230163,882.5076400100412,1354.2466209433787
44900,831.1704542230163,909.2635037482322,1268.4250067395658
45000,831.1704542230163,898.3977673821039,1423.3901770333157
45100,831.1704542230163,874.2106428072718,1325.9836804545407
45200,831.1704542230163,903.7543616327097,1366.373156505543
45300,831.1704542230163,879.6542680165599,1423.3901770333157
45400,831.1704542230163,884.6653132875227,1422.2600759587226
45500,831.1704542230163,893.0046016027607,1361.2340413942584
45600,831.1704542230163,912.1690032206739,1417.4393787756526
45700,831.1704542230163,881.3631599032633,1334.6882703211966
45800,831.1704542230163,892.5176677379727,1281.976247188957
45900,831.1704542230163,895.5084310512633,1346.7113960272172
46000,831.1704542230163,895.2662565833352,1354.2466209433787
46100,831.1704542230163,886.6912701759836,1345.9202077497564
46200,831.1704542230163,892.237608373291,1385.0689133346918
46300,831.1704542230163,882.7340148698275,1270.1445100564724
46400,831.1704542230163,893.2717047965828,1373.9933157428009
46500,831.1704542230163,902.4187180761317,1380.695227544976
46600,831.1704542230163,876.1931510118361,1422.2600759587226
46700,831.1704542230163,893.5761393704523,1320.5927731012096
46800,831.1704542230163,872.8509059377767,1288.4885235453557
46900,831.1704542230163,919.4902539536436,1422.2600759587226
47000,831.1704542230163,884.6216490730035,1347.1725674258753
47100,831.1704542230163,904.346670748629,1316.1141903267915
47200,831.1704542230163,907.2782257098769,1433.0536249380168
47300,831.1704542230163,901.3230936266226,1423.3901770333157
47400,831.1704542230163,901.1002479566599,1361.2340413942584
47500,831.1704542230163,903.9808932937271,1336.0426014172094
47600,831.1704542230163,897.4227527188968,1317.724156728276
47700,831.1704542230163,894.2776255378927,1413.5609770126705
47800,831.1704542230163,885.9859874840073,1325.9836804545407
47900,831.1704542230163,894.9320028172051,1423.3901770333157
48000,831.1704542230163,879.6760777471513,1261.2234910533657
48100,831.1704542230163,893.8088394055803,1319.0742390317364
48200,831.1704542230163,893.1125727732892,1354.2466209433787
48300,831.1704542230163,901.2989562097414,1366.373156505543
48400,831.1704542230163,887.6188382326241,1331.343733098187
48500,831.1704542230163,901.604301270821,1423.3901770333157
48600,831.1704542230163,895.866468262776,1345.1348631402795
48700,831.1704542230163,867.3204848432175,1287.671800921918
48800,831.1704542230163,878.7534331662448,1282.7996892195893
48900,831.1704542230163,880.4036348424125,1325.9836804545407
49000,831.1704542230163,889.0071062282398,1366.373156505543
49100,831.1704542230163,887.5298474701605,1258.544723402965
49200,831.1704542230163,894.331934506917,1336.0426014172094
49300,831.1704542230163,894.9257201415127,1423.3901770333157
49400,831.1704542230163,896.1230128998614,1259.4323237515305
49500,831.1704542230163,894.8814931214106,1380.695227544976
49600,831.1704542230163,906.7357865187009,1325.3246998120937
49700,831.1704542230163,932.2244395415157,1347.1725674258753
49800,831.1704542230163,904.5449234961936,1417.4393787756526
49900,831.1704542230163,894.5820302023752,1250.2964324840623
50000,831.1704542230163,889.4034969319135,1345.1348631402795
